Band,a1,a2,a3,a4
Kp,0.7984,0.4027,-0.3977,0.1178
C,0.8902,0.219,-0.2771,0.0864
S1,0.823,-0.6601,0.3508,-0.0818
S2,0.7332,-0.6449,0.36,-0.0863
S3,0.5955,-0.4637,0.245,-0.0565
S4,0.3697,-0.1826,0.0688,-0.0115
u,0.9053,0.1805,-0.1146,0.0361
v,1.0645,0.009,-0.0831,0.0362
b,-0.051,1.9314,-1.2346,0.3028
y,0.4901,0.9286,-0.5925,0.1472
U,0.9656,0.0744,-0.0659,0.0244
B,0.556,0.9031,-0.63,0.1644
V,0.3206,1.4402,-1.1195,0.3116
R,0.5227,0.893,-0.7144,0.1976
I,1.5481,-0.9591,0.4474,-0.092
J,1.2525,-1.0974,0.6329,-0.1551
H,1.3361,-1.1503,0.6252,-0.1456
K,1.1577,-0.9712,0.5136,0.0362
u',0.9926,0.0558,-0.058,0.0227
g',0.7007,0.6659,-0.5147,0.1431
r',0.22,1.3362,-0.8871,0.217
i',1.2982,-0.5785,0.2549,-0.0564
z',1.6052,-1.2719,0.7058,-0.169
J2,1.2648,-1.1274,0.662,-0.1647
H2,1.3613,-1.2156,0.6755,-0.1593
Ks,1.1174,-0.9042,0.4727,-0.1078
