Filt,wave,
B,4353,
C,6400,
H,16300,
I,8797,
J,12200,
K,21900,
Kp,6000,
R,6349,
S1,36000,
S2,45000,
S3,58000,
S4,80000,
U,3656,
V,5477,
b,4666,
"g,",4770,
"i,",7625,
"r,",6231,
u,3496,
"u,",3543,
v,4103,
y,5505,
"z,",9134,
